Time,BPM,Label
02:08:51,78,1
02:08:52,78,1
02:08:53,81,1
02:08:54,81,1
02:08:55,77,1
02:08:56,75,1
02:08:57,78,1
02:08:58,77,1
02:08:59,81,1
02:09:00,75,1
02:09:01,81,1
02:09:02,80,1
02:09:03,76,1
02:09:04,83,1
02:09:05,83,1
02:09:06,82,1
02:09:07,80,1
02:09:08,78,1
02:09:09,84,1
02:09:10,76,1
02:09:11,84,1
02:09:12,83,1
02:09:13,82,1
02:09:14,77,1
02:09:15,78,1
02:09:16,82,1
02:09:17,76,1
02:09:18,79,1
02:09:19,80,1
02:09:20,82,1
02:09:21,80,1
02:09:22,75,1
02:09:23,75,1
02:09:24,83,1
02:09:25,77,1
02:09:26,78,1
02:09:27,80,1
02:09:28,81,1
02:09:29,77,1
02:09:30,78,1
02:09:31,81,1
02:09:32,81,1
02:09:33,82,1
02:09:34,83,1
02:09:35,80,1
02:09:36,83,1
02:09:37,75,1
02:09:38,79,1
02:09:39,81,1
02:09:40,79,1
02:09:41,80,1
02:09:42,79,1
02:09:43,78,1
02:09:44,82,1
02:09:45,80,1
02:09:46,76,1
02:09:47,80,1
02:09:48,81,1
02:09:49,75,1
02:09:50,82,1
02:09:51,79,1
02:09:52,78,1
02:09:53,78,1
02:09:54,82,1
02:09:55,79,1
02:09:56,81,1
02:09:57,83,1
02:09:58,76,1
02:09:59,81,1
02:10:00,75,1
02:10:01,83,1
02:10:02,81,1
02:10:03,77,1
02:10:04,80,1
02:10:05,76,1
02:10:06,78,1
02:10:07,82,1
02:10:08,82,1
02:10:09,75,1
02:10:10,77,1
02:10:11,76,1
02:10:12,75,1
02:10:13,75,1
02:10:14,75,1
02:10:15,81,1
02:10:16,75,1
02:10:17,84,1
02:10:18,83,1
02:10:19,77,1
02:10:20,75,1
02:10:21,75,1
02:10:22,77,1
02:10:23,79,1
02:10:24,82,1
02:10:25,79,1
02:10:26,81,1
02:10:27,77,1
02:10:28,80,1
02:10:29,77,1
02:10:30,76,1
02:10:31,83,1
02:10:32,80,1
02:10:33,81,1
02:10:34,81,1
02:10:35,77,1
02:10:36,78,1
02:10:37,78,1
02:10:38,77,1
02:10:39,83,1
02:10:40,82,1
02:10:41,77,1
02:10:42,77,1
02:10:43,78,1
02:10:44,82,1
02:10:45,78,1
02:10:46,82,1
02:10:47,81,1
02:10:48,75,1
02:10:49,82,1
02:10:50,77,1
02:10:51,81,1
02:10:52,79,1
02:10:53,76,1
02:10:54,81,1
02:10:55,76,1
02:10:56,79,1
02:10:57,84,1
02:10:58,76,1
02:10:59,76,1
02:11:00,77,1
02:11:01,76,1
02:11:02,82,1
02:11:03,78,1
02:11:04,82,1
02:11:05,81,1
02:11:06,78,1
02:11:07,79,1
02:11:08,81,1
02:11:09,82,1
02:11:10,81,1
02:11:11,80,1
02:11:12,80,1
02:11:13,76,1
02:11:14,81,1
02:11:15,78,1
02:11:16,80,1
02:11:17,79,1
02:11:18,79,1
02:11:19,76,1
02:11:20,80,1
02:11:21,80,1
02:11:22,81,1
02:11:23,77,1
02:11:24,76,1
02:11:25,80,1
02:11:26,81,1
02:11:27,76,1
02:11:28,81,1
02:11:29,78,1
02:11:30,76,1
02:11:31,80,1
02:11:32,81,1
02:11:33,78,1
02:11:34,82,1
02:11:35,80,1
02:11:36,80,1
02:11:37,76,1
02:11:38,76,1
02:11:39,77,1
02:11:40,76,1
02:11:41,81,1
02:11:42,79,1
02:11:43,75,1
02:11:44,78,1
02:11:45,79,1
02:11:46,78,1
02:11:47,80,1
02:11:48,77,1
02:11:49,78,1
02:11:50,78,1
02:11:51,82,1
02:11:52,76,1
02:11:53,75,1
02:11:54,77,1
02:11:55,82,1
02:11:56,76,1
02:11:57,81,1
02:11:58,76,1
02:11:59,76,1
02:12:00,84,1
02:12:01,80,1
02:12:02,78,1
02:12:03,82,1
02:12:04,77,1
02:12:05,76,1
02:12:06,78,1
02:12:07,77,1
02:12:08,78,1
02:12:09,82,1
02:12:10,79,1
02:12:11,82,1
02:12:12,82,1
02:12:13,80,1
02:12:14,75,1
02:12:15,83,1
02:12:16,82,1
02:12:17,82,1
02:12:18,81,1
02:12:19,78,1
02:12:20,82,1
02:12:21,77,1
02:12:22,75,1
02:12:23,76,1
02:12:24,81,1
02:12:25,75,1
02:12:26,77,1
02:12:27,76,1
02:12:28,77,1
